"Item_001","Item_002","Item_003","Item_004","Item_005","Item_006","Item_007","Item_008","Item_009","Item_010","Item_011","Item_012","Item_013","Item_014","Item_015","Item_016","Item_017","Item_018","Item_019","Item_020","Item_021","Item_022","Item_023","Item_024","Item_025","Item_026","Item_027","Item_028","Item_029","Item_030","Item_031","Item_032","Item_033","Item_034","Item_035","Item_036","Item_037","Item_038","Item_039","Item_040","Item_041","Item_042","Item_043","Item_044","Item_045","Item_046","Item_047","Item_048","Item_049","Item_050","Item_051","Item_052","Item_053","Item_054","Item_055","Item_056","Item_057","Item_058","Item_059","Item_060","Item_061","Item_062","Item_063","Item_064","Item_065","Item_066","Item_067","Item_068","Item_069","Item_070","Item_071","Item_072","Item_073","Item_074","Item_075","Item_076","Item_077","Item_078","Item_079","Item_080","Item_081","Item_082","Item_083","Item_084","Item_085","Item_086","Item_087","Item_088","Item_089","Item_090","Item_091","Item_092","Item_093","Item_094","Item_095","Item_096","Item_097","Item_098","Item_099","Item_100","Item_101","Item_102","Item_103","Item_104","Item_105","Item_106","Item_107","Item_108","Item_109","Item_110","Item_111","Item_112","Item_113","Item_114","Item_115","Item_116","Item_117","Item_118","Item_119","Item_120","Item_121","Item_122","Item_123","Item_124","Item_125","Item_126","Item_127","Item_128","Item_129","Item_130","Item_131","Item_132","Item_133","Item_134","Item_135","Item_136","Item_137","Item_138","Item_139","Item_140","Item_141","Item_142","Item_143","Item_144","Item_145","Item_146","Item_147","Item_148","Item_149","Item_150","Item_151","Item_152","Item_153","Item_154","Item_155","Item_156","Item_157","Item_158","Item_159","Item_160","Item_161","Item_162","Item_163","Item_164","Item_165","Item_166","Item_167","Item_168","Item_169","Item_170","Item_171","Item_172","Item_173","Item_174","Item_175","Item_176","Item_177","Item_178","Item_179","Item_180","Item_181","Item_182","Item_183","Item_184","Item_185","Item_186","Item_187","Item_188","Item_189","Item_190","Item_191","Item_192","Item_193","Item_194","Item_195","Item_196","Item_197","Item_198","Item_199","Item_200","Item_201","Item_202","Item_203","Item_204","Item_205","Item_206","Item_207","Item_208","Item_209","Item_210","Item_211","Item_212","Item_213","Item_214","Item_215","Item_216","Item_217","Item_218","Item_219","Item_220","Item_221","Item_222","Item_223","Item_224","Item_225","Item_226","Item_227","Item_228","Item_229","Item_230","Item_231","Item_232","Item_233","Item_234","Item_235","Item_236","Item_237","Item_238","Item_239","Item_240","Item_241","Item_242","Item_243","Item_244","Item_245","Item_246","Item_247","Item_248","Item_249","Item_250","Item_251","Item_252","Item_253","Item_254","Item_255","Item_256","Item_257","Item_258","Item_259","Item_260","Item_261","Item_262","Item_263","Item_264","Item_265","Item_266","Item_267","Item_268","Item_269","Item_270","Item_271","Item_272","Item_273","Item_274","Item_275","Item_276","Item_277","Item_278","Item_279","Item_280","Item_281","Item_282","Item_283","Item_284","Item_285","Item_286"
28,60,47,51,60,28,57,47,47,59,28,61,45,49,56,29,60,46,48,56,29,59,49,51,56,29,56,48,49,59,30,61,46,49,59,30,57,47,47,59,29,57,48,49,61,28,59,45,49,55,29,56,49,47,56,28,60,46,49,59,29,55,45,48,59,28,61,49,51,57,28,57,49,49,60,29,58,46,47,59,30,61,45,51,57,30,56,48,48,59,30,59,46,48,57,29,58,48,50,60,30,56,45,51,57,29,60,47,48,58,29,55,47,49,56,28,56,47,49,60,30,56,49,47,58,29,57,45,48,60,29,60,48,51,55,29,58,49,50,60,30,57,45,50,56,29,56,49,51,57,30,58,46,48,56,29,56,49,47,58,28,59,49,50,57,30,60,49,48,56,30,57,46,48,60,28,60,48,48,60,28,58,46,51,56,28,60,46,47,57,30,58,45,50,60,28,56,46,50,58,29,56,46,49,57,29,59,48,49,61,28,56,49,49,59,29,57,49,48,56,28,55,46,49,58,30,58,48,47,60,30,56,47,50,56,30,58,49,47,57,30,57,46,47,56,29,56,45,49,60,29,60,47,49,60,28,60,46,49,57,28,59,49,51,60,29,56,48,48,57,28,57,47,51,55,28,55,46,48,61,30,59,45,51,57,30
61,54,47,42,56,63,50,47,45,55,66,52,46,44,56,67,51,47,45,56,65,53,45,43,57,65,50,47,42,55,66,51,45,42,58,64,54,46,43,55,65,53,48,43,54,63,51,47,43,54,64,54,45,41,58,65,51,46,42,55,62,54,44,45,58,61,50,45,43,54,66,52,47,43,55,67,50,46,41,56,66,54,45,42,54,64,54,45,42,54,64,51,44,42,58,67,52,44,43,54,62,54,45,42,55,63,54,47,44,58,62,53,48,43,53,63,52,45,43,56,66,52,48,41,58,64,52,47,44,55,64,53,44,43,58,65,54,48,43,55,63,54,47,44,58,61,54,47,43,56,62,52,46,44,56,63,52,46,44,55,63,54,46,45,58,62,53,44,43,55,67,50,45,42,58,67,53,45,41,59,66,51,46,43,54,64,51,45,44,56,63,54,46,43,53,65,50,46,42,56,62,54,47,42,55,64,50,46,43,58,67,49,48,45,59,62,51,46,41,56,61,52,46,43,54,64,52,45,44,56,64,54,48,41,56,65,53,48,41,58,66,50,47,43,55,62,52,44,42,58,66,53,45,43,59,64,52,47,45,53,61,54,46,44,58,62,55,45,43,54,64,53,45,45,57,66,53,48,44,54,67,53,45,41,54,62
52,50,59,38,28,50,52,64,40,27,50,51,64,40,28,49,50,60,42,28,49,51,60,42,27,51,51,59,41,26,53,53,62,41,28,52,52,60,41,27,48,53,60,39,27,52,50,63,40,27,49,49,62,41,26,51,50,61,40,26,53,49,62,41,27,51,53,64,40,27,53,52,59,38,27,49,51,62,38,27,52,49,61,41,28,50,51,62,39,26,52,49,64,40,28,49,52,63,39,26,53,50,59,38,27,51,54,64,39,26,50,53,60,41,28,52,52,61,41,26,53,52,65,40,28,50,52,61,41,26,51,51,59,41,27,53,53,61,41,28,52,53,63,40,26,50,51,61,42,26,52,52,64,42,27,53,54,63,39,27,50,49,61,40,26,49,50,60,40,27,51,51,62,41,28,50,53,59,39,28,49,49,63,42,26,49,54,60,41,26,49,49,64,39,27,51,51,59,42,28,52,49,65,39,27,50,51,65,41,27,50,50,61,38,27,51,50,65,40,27,51,53,62,39,27,53,53,63,42,28,51,49,61,42,28,52,49,62,41,26,53,52,64,41,27,49,49,61,40,28,51,52,64,42,28,49,51,60,40,28,50,50,64,38,27,52,52,64,39,26,53,51,60,41,28,50,52,63,42,27,51,49,64,38,26,48
48,58,54,42,47,50,54,51,41,49,51,57,50,41,48,50,54,54,42,48,50,59,51,39,48,49,56,51,40,50,50,55,53,42,49,50,59,53,40,47,48,60,49,39,48,48,59,51,39,48,51,60,54,38,51,52,54,51,41,47,52,56,53,39,50,49,56,54,40,51,51,56,50,42,48,48,59,52,39,47,49,59,50,40,51,50,60,52,40,51,48,57,51,38,49,52,56,50,40,51,48,59,52,40,50,50,59,51,41,50,49,58,53,40,47,50,59,53,40,49,51,59,51,42,48,50,56,51,39,51,49,56,52,41,48,51,58,50,38,47,50,54,51,41,48,49,59,50,39,49,49,56,52,38,51,50,55,50,42,50,51,54,52,42,51,50,59,51,40,50,51,57,51,40,48,51,60,52,41,47,48,56,53,40,50,50,59,50,38,50,51,59,54,39,50,52,55,51,40,47,51,60,53,41,47,50,55,54,40,51,52,57,50,41,50,50,57,51,40,47,48,56,50,38,51,50,57,54,41,49,48,56,51,38,50,49,55,51,39,48,51,59,52,41,48,49,57,50,40,49,51,56,52,40,51,52,57,50,41,47,52,56,55,38,47,51,56,54,39,47,52,58,54,38,49,50,59,54,42,51,52,58,53,42,48,49
46,43,35,64,76,47,40,35,65,79,48,42,37,61,76,46,41,36,63,77,50,42,36,62,77,46,42,35,65,75,50,43,36,60,74,49,41,36,62,78,46,39,37,63,80,49,42,36,61,78,49,41,37,62,80,47,42,36,63,73,48,41,36,60,79,47,40,36,63,78,50,40,38,59,78,49,42,36,61,77,49,42,36,63,76,48,40,37,61,77,47,42,36,61,79,50,42,34,64,79,46,39,36,63,75,49,42,37,61,79,47,42,35,65,76,48,40,35,64,75,50,41,35,59,80,50,43,36,64,78,47,39,37,65,75,50,42,36,61,76,48,40,36,64,77,46,39,36,60,73,48,40,35,65,77,46,39,36,62,75,50,40,36,60,74,47,41,37,61,73,47,40,37,65,77,48,41,36,62,75,47,40,36,60,76,50,40,36,61,80,47,42,36,62,75,48,42,36,62,76,50,40,35,61,74,47,39,36,61,75,48,40,37,61,80,50,42,35,61,77,49,41,37,59,76,46,39,37,64,75,49,43,35,59,80,49,42,37,64,76,48,40,35,65,75,47,42,38,62,79,48,40,35,59,79,48,40,34,63,76,49,42,35,64,75,50,42,37,63,73,46,40,38,64,77,47,41,34,60,74,50,42,36,64,79,49
44,38,39,59,53,45,36,43,56,51,43,39,41,55,50,43,39,39,55,50,43,39,41,57,53,44,39,42,54,49,45,39,41,55,52,45,37,41,56,53,45,39,43,56,50,43,37,42,58,49,42,39,39,60,50,43,38,40,56,50,43,38,43,55,49,43,39,41,58,50,44,36,40,58,50,43,37,42,55,53,43,37,41,59,53,42,36,42,55,50,43,39,41,60,52,43,40,42,60,52,44,38,41,58,53,43,39,39,59,49,46,38,43,60,50,42,38,42,57,49,44,36,40,58,51,44,39,41,59,52,44,38,43,58,54,44,38,39,59,50,42,39,41,54,51,44,39,42,54,53,45,37,41,57,49,46,37,43,56,52,46,39,42,57,52,45,40,40,59,49,42,36,39,56,52,46,37,41,56,52,45,39,41,55,53,44,37,40,55,51,43,37,43,58,49,44,40,43,56,53,44,38,42,58,53,46,37,43,59,49,44,37,39,57,49,43,37,39,57,51,46,38,41,54,52,44,39,40,54,51,43,36,41,58,52,43,38,42,59,49,45,40,41,59,49,43,37,42,59,53,42,40,39,57,50,43,39,43,59,52,43,38,41,59,50,45,37,41,60,53,45,39,40,58,48,42,37,39,58,49,45,40,41,60,51,42
44,46,45,50,63,44,47,47,51,64,43,49,46,50,65,42,49,46,51,65,44,47,47,48,62,44,49,45,49,63,46,48,47,50,66,42,47,43,48,61,45,47,44,49,61,46,48,44,48,62,42,45,44,48,62,43,47,45,49,61,43,47,46,51,60,46,48,45,50,60,46,49,46,49,63,46,47,43,50,64,46,48,45,50,65,44,48,45,50,66,43,47,43,51,65,44,46,44,49,66,43,45,44,51,61,46,47,46,49,62,45,49,47,48,63,43,45,47,51,61,45,45,47,50,61,45,47,43,50,63,44,47,45,51,65,44,46,45,48,65,46,47,47,48,61,44,47,45,50,66,44,49,45,47,61,43,45,46,47,60,43,47,46,49,62,44,45,46,50,61,43,48,45,47,61,42,48,46,50,62,43,48,43,48,63,45,48,45,51,60,44,48,44,47,65,43,48,46,48,64,42,46,47,48,60,43,47,44,51,66,46,49,46,51,62,45,47,43,51,61,46,45,44,49,64,43,47,43,48,64,45,47,43,49,64,45,48,43,47,65,44,47,47,49,64,42,49,43,47,62,45,47,45,48,65,42,47,43,50,60,44,45,47,49,65,43,49,47,47,63,46,49,43,47,60,45,47,44,48,62,43,48,43,47,66,46
45,62,39,38,53,46,63,38,38,51,48,62,36,37,53,48,63,37,38,51,46,61,37,40,54,47,61,38,39,55,49,64,39,41,53,48,63,38,38,56,46,59,39,38,53,45,64,38,39,52,47,63,38,40,51,46,61,37,39,52,45,64,40,37,52,45,64,40,39,54,46,63,39,39,53,49,65,37,39,52,46,61,38,39,55,46,60,36,38,51,46,64,39,39,51,45,63,38,41,54,47,63,39,41,54,46,63,37,39,53,46,63,38,39,52,46,61,36,38,51,46,60,36,39,51,49,60,38,37,55,48,65,38,40,51,47,64,39,39,52,45,65,37,38,53,46,63,39,38,55,46,65,37,38,52,47,59,38,37,55,47,61,38,37,53,47,62,36,37,53,46,61,38,39,54,48,61,39,39,53,49,63,37,38,52,48,64,40,39,55,47,59,39,39,52,45,60,39,38,55,49,59,39,38,56,47,63,39,38,54,48,62,36,37,54,47,64,37,39,51,46,62,40,38,54,46,63,39,40,52,46,65,37,41,52,46,62,37,41,51,48,60,36,39,56,48,64,37,39,52,47,60,38,39,54,49,60,36,41,55,46,62,37,40,55,46,65,38,38,54,46,62,37,38,53,46,63,38,38,51,48,59,39,37,54,46
32,57,57,52,67,33,57,61,49,64,32,56,61,50,64,34,54,57,48,63,32,56,62,52,65,35,55,62,49,67,32,58,57,48,66,32,54,56,49,65,32,58,61,49,65,33,57,57,52,65,34,57,58,52,62,33,58,58,49,67,33,54,60,49,65,34,58,57,49,62,34,54,59,51,66,32,55,62,52,67,33,57,60,50,65,33,53,58,52,67,34,58,57,48,67,32,54,58,48,61,32,54,59,51,63,33,58,57,52,65,34,59,61,52,66,32,57,58,48,61,34,58,61,50,67,35,58,61,50,64,32,55,61,49,62,34,57,58,49,62,32,54,60,51,61,33,57,59,50,65,32,59,59,51,62,34,55,58,52,63,33,55,57,52,64,34,56,57,51,62,32,56,57,52,66,34,55,61,51,61,33,58,60,52,64,33,53,56,48,63,34,54,59,50,66,34,55,57,52,62,35,53,58,52,61,34,55,59,52,61,34,57,60,52,64,35,58,61,49,66,34,53,61,48,65,32,56,60,51,61,34,57,60,49,66,34,59,61,51,64,34,57,61,50,65,33,56,57,52,66,35,56,61,52,62,34,56,61,50,61,33,54,59,51,66,34,55,56,49,64,32,56,57,50,67,33,57,61,49,62,35,58,57,50,62,32
71,70,35,55,45,71,76,34,53,45,67,73,34,50,43,66,72,33,52,46,69,71,34,54,44,70,72,33,52,45,70,71,34,53,45,70,72,32,52,44,69,75,34,54,47,66,76,34,50,44,72,70,34,55,44,69,71,32,51,45,70,71,32,56,43,69,76,32,53,47,72,74,32,55,44,68,71,32,52,45,70,74,33,53,46,68,72,33,51,46,68,70,33,50,46,71,74,33,51,43,71,72,32,53,44,69,70,35,54,43,67,71,34,53,46,71,70,35,55,44,66,75,33,52,44,72,72,33,54,47,67,73,34,51,43,70,76,33,53,46,70,75,33,52,46,70,74,32,53,46,67,73,34,52,46,68,74,33,52,43,69,70,34,53,43,69,71,34,51,46,67,76,34,51,44,66,74,31,55,46,66,75,34,52,46,68,70,33,51,47,69,76,32,51,47,68,76,34,55,45,70,74,35,54,44,66,74,35,55,45,68,74,33,52,45,71,76,34,53,47,71,71,33,51,47,66,71,32,55,46,72,72,32,51,43,68,70,32,52,46,67,72,34,53,46,68,74,33,53,43,67,72,33,55,47,71,73,33,52,47,67,71,33,55,43,72,73,33,54,47,72,75,32,51,47,69,69,32,53,44,70,72,32,52,43,71
49,39,39,33,53,48,41,37,33,54,49,39,38,34,54,47,38,37,35,56,50,38,38,34,53,50,39,40,35,53,50,41,37,35,55,50,38,37,35,54,50,40,39,33,52,49,39,39,34,52,51,42,40,33,54,47,40,40,32,56,51,41,40,35,53,50,38,39,35,52,50,40,39,33,55,47,39,40,34,53,47,41,40,32,56,48,40,40,33,51,47,40,39,36,53,49,39,40,36,53,49,41,40,33,54,49,42,40,34,51,49,42,40,34,52,50,40,38,34,53,51,39,41,34,52,47,41,41,34,54,48,41,37,36,56,51,38,38,35,53,47,41,38,34,53,50,39,38,33,52,51,40,39,32,53,50,40,40,32,56,47,40,41,34,54,51,39,38,33,54,47,39,40,34,53,51,41,39,34,52,48,39,39,33,52,51,40,39,35,55,47,41,38,33,53,51,39,39,33,56,48,38,38,32,55,51,41,41,32,56,51,41,38,33,55,47,41,39,36,53,47,39,40,32,54,47,41,39,32,54,47,41,39,35,53,48,38,38,32,56,48,42,37,32,54,47,40,37,33,56,48,39,40,33,55,47,39,37,35,52,48,41,39,33,54,50,38,39,35,54,49,42,39,34,51,50,41,40,33,51,49,41,38,34,55,48
55,53,50,40,49,52,51,50,41,47,52,51,48,40,49,56,53,48,41,48,52,52,47,41,47,54,53,48,41,47,54,53,48,43,50,54,49,51,40,49,56,51,48,43,49,52,49,50,44,47,56,52,50,41,47,51,49,48,43,51,55,49,50,44,51,56,49,51,42,50,55,51,51,43,50,52,53,51,42,49,53,53,49,42,47,56,50,51,41,48,55,49,48,44,49,53,50,48,43,48,52,52,47,41,48,53,53,50,41,51,51,51,47,42,47,55,53,47,41,49,55,49,51,42,48,54,53,50,43,48,53,51,49,40,50,52,53,47,41,49,52,49,49,41,51,53,51,51,43,51,56,49,48,42,49,56,53,51,44,50,54,52,50,42,49,54,51,49,40,48,56,50,51,41,47,56,49,51,44,48,53,49,47,42,48,52,51,47,41,47,53,53,47,42,50,56,50,51,42,47,54,50,48,42,50,56,51,51,41,51,53,49,47,41,48,56,51,49,44,47,55,50,48,41,51,55,49,48,41,49,54,52,50,42,51,52,49,47,43,49,54,50,50,41,49,53,49,49,44,51,56,50,51,42,51,54,49,50,40,50,53,51,47,41,49,53,50,51,43,47,53,53,50,42,47,55,52,51,40,47,54,53,49,43,51,56
53,79,58,46,55,53,78,57,44,56,54,84,57,44,53,54,79,54,44,56,53,79,57,45,54,54,84,57,44,55,55,79,55,46,53,55,78,57,42,54,53,83,57,42,55,55,85,54,46,55,55,79,58,44,56,57,80,54,42,55,53,83,54,46,55,52,83,57,45,56,55,84,57,45,57,54,83,56,42,56,55,83,55,45,54,53,83,54,44,57,57,84,58,42,52,53,85,59,45,52,54,79,56,45,55,57,84,56,43,57,55,83,59,43,58,53,82,54,45,53,53,78,56,43,55,57,80,58,44,53,56,81,55,45,53,55,78,54,45,55,55,81,59,45,54,56,79,56,44,53,54,78,57,45,56,53,80,55,45,55,54,83,58,44,58,56,82,55,45,54,54,79,55,43,54,52,80,58,43,58,58,84,58,42,53,57,78,56,43,54,56,81,55,43,56,54,83,55,43,57,57,81,54,46,54,55,81,57,43,54,52,79,58,43,57,53,78,56,44,53,53,81,53,44,56,54,78,55,44,53,53,79,54,44,56,54,82,54,43,53,58,77,58,44,56,56,83,54,43,53,55,79,53,42,57,53,84,54,45,55,57,84,55,45,55,53,78,54,46,55,55,81,54,43,53,56,77,54,43,54,57,84,58,45,56,55
62,51,76,56,26,65,50,74,53,28,60,49,71,53,27,60,50,70,51,27,62,49,75,52,28,65,50,74,54,26,63,48,73,54,26,63,48,71,51,28,63,49,74,53,28,61,49,75,54,28,60,49,70,51,28,61,48,76,52,26,63,49,76,51,26,61,49,76,54,26,61,49,75,52,28,65,51,72,53,28,62,49,74,54,27,62,52,71,52,28,59,49,75,52,26,62,51,74,52,26,64,50,71,52,28,61,49,73,52,28,64,48,70,51,26,60,51,71,54,28,62,51,70,51,28,60,50,76,51,27,62,50,71,54,26,62,48,72,55,28,62,52,73,52,27,60,51,69,55,26,60,50,72,55,26,63,52,76,51,26,63,52,76,52,26,63,52,70,53,27,60,48,74,55,26,60,48,72,56,27,64,50,71,52,27,59,52,72,53,28,60,50,73,56,27,63,49,72,52,28,65,50,76,54,28,61,52,74,55,27,63,50,72,51,28,63,52,74,53,27,63,50,75,51,27,64,51,76,51,26,63,52,75,53,28,62,50,71,54,27,60,50,70,51,27,64,49,75,52,26,62,50,74,53,27,63,49,70,50,26,61,48,74,53,28,64,51,70,52,27,61,48,71,54,28,59,51,70,55,27,61,50,75,55,28,63
40,57,48,40,37,39,61,46,43,39,39,61,48,43,37,38,59,45,39,38,39,59,46,40,38,39,57,48,40,36,38,59,48,40,37,38,59,49,43,39,38,58,48,41,37,39,59,48,41,38,37,60,49,43,37,41,57,47,40,36,38,60,48,40,37,39,61,45,42,36,40,62,47,42,37,38,62,45,40,37,40,59,45,40,37,40,56,45,41,37,38,61,46,43,37,38,56,47,43,36,38,61,47,41,37,39,62,49,41,35,38,60,47,43,36,39,56,46,40,38,37,60,47,41,35,38,58,49,39,39,41,61,45,41,37,38,62,45,43,38,39,56,48,40,36,37,58,45,40,37,39,58,46,40,37,39,62,47,41,36,39,61,45,42,37,40,60,45,40,39,41,62,49,41,37,38,59,49,41,37,37,59,48,40,37,41,56,46,41,38,38,60,46,43,37,41,61,49,42,38,41,57,48,42,38,38,61,48,41,38,38,56,45,41,36,41,62,45,43,39,41,59,48,42,38,40,58,48,40,36,40,62,47,42,36,40,61,46,42,36,39,61,48,43,39,38,57,46,41,36,38,59,49,41,36,38,59,47,40,37,38,59,47,41,35,37,59,45,41,37,38,61,48,42,36,40,59,45,43,37,38,56,46,42,35,38
38,56,47,44,49,39,60,46,42,49,41,60,48,42,50,41,55,47,44,46,40,59,47,42,46,40,58,46,42,47,39,60,48,41,47,40,56,45,42,47,38,57,48,42,47,40,59,45,41,49,38,59,45,41,50,38,58,47,45,46,37,56,44,44,46,41,56,48,45,48,39,56,45,44,49,38,60,46,44,47,38,60,46,43,47,39,60,45,44,46,38,56,44,41,50,40,58,47,44,49,40,55,47,41,46,41,56,46,45,46,38,58,48,42,49,39,55,47,41,50,38,58,44,43,50,38,59,45,42,47,38,57,46,44,48,40,56,47,43,49,39,58,48,43,46,38,56,46,45,46,37,56,46,43,47,38,59,46,43,47,37,57,46,42,47,39,55,47,44,49,38,58,47,45,50,40,55,47,43,49,40,57,45,41,48,40,56,46,43,48,39,58,48,42,48,40,57,45,45,50,39,60,46,41,48,41,58,45,42,46,41,58,44,44,48,38,57,48,43,50,38,55,46,41,46,38,57,46,41,48,39,60,44,41,46,40,56,45,43,46,38,59,47,42,49,40,59,48,41,46,37,61,45,45,47,41,55,47,42,46,38,60,45,43,47,39,58,48,44,50,38,59,47,41,48,38,55,47,42,50,38,58,44,44,48,40
52,67,43,22,44,54,63,45,23,45,50,65,44,23,46,52,69,42,23,45,52,64,43,22,45,51,66,42,22,47,54,66,43,23,45,52,67,43,24,44,52,67,44,23,46,53,67,45,22,45,50,67,43,22,44,52,68,42,23,46,53,67,44,23,46,52,65,45,23,47,53,67,44,23,47,51,66,41,23,47,52,64,42,24,46,51,65,42,24,47,54,63,42,23,47,53,66,44,24,45,51,67,44,22,47,52,68,44,22,46,52,69,42,22,48,54,66,44,23,47,51,64,43,23,48,50,64,44,23,47,53,66,43,23,45,53,66,43,23,44,52,65,42,24,44,52,64,44,22,47,53,67,42,22,46,51,69,44,22,44,52,65,41,22,48,51,64,41,22,44,53,64,43,23,47,54,65,45,24,45,54,64,44,23,47,52,67,44,22,47,50,63,43,23,46,54,66,41,22,44,51,65,41,24,45,51,64,44,22,47,51,68,43,24,45,52,67,44,22,45,52,66,44,22,46,52,68,45,23,46,51,66,43,24,45,50,68,42,22,48,52,66,42,23,48,49,68,42,23,44,51,68,42,24,48,54,65,44,22,45,54,66,41,22,48,51,63,41,23,44,51,63,41,22,44,54,64,44,23,44,50,64,44,23,47,53
44,53,29,46,57,47,48,29,50,58,47,49,31,49,58,44,51,31,48,60,46,53,30,49,59,43,51,30,47,61,46,50,29,46,61,44,50,29,47,62,46,52,29,48,61,46,53,31,50,58,46,50,31,47,58,43,49,31,46,59,46,49,29,48,59,46,51,31,49,60,47,51,29,49,62,44,53,29,48,59,47,51,31,47,61,43,49,31,49,62,44,49,29,49,60,46,50,29,48,59,46,50,31,48,63,47,53,31,49,60,43,53,31,49,60,46,50,29,49,59,47,50,30,46,58,45,51,30,47,63,47,52,31,47,60,43,51,30,50,57,44,53,31,48,60,46,53,31,50,58,44,50,31,50,60,47,53,30,48,57,47,50,31,48,62,44,53,30,48,60,46,52,30,50,62,46,52,30,46,59,43,50,29,49,58,47,50,29,46,58,43,53,29,47,62,45,52,29,50,60,44,49,30,49,61,44,52,30,46,62,43,53,29,49,62,44,49,30,47,63,47,50,29,49,62,44,50,31,48,60,44,53,29,47,58,46,53,29,48,62,46,50,30,50,58,46,49,31,49,59,46,49,30,48,60,43,49,29,49,59,47,49,30,50,59,45,53,31,50,58,44,52,31,46,61,46,52,31,48,59,45,52,30,47,61,44
74,63,54,43,47,71,63,55,41,49,71,61,58,42,45,74,62,58,40,46,75,65,55,41,49,73,60,56,42,46,73,65,57,41,47,75,64,58,42,46,71,63,57,43,49,75,64,60,40,46,77,63,60,40,45,73,61,55,43,48,72,63,59,43,49,77,60,56,40,46,75,65,59,43,46,74,60,58,40,46,73,65,56,43,49,70,62,56,43,46,76,61,55,40,47,76,65,55,40,45,76,65,56,42,47,70,63,57,40,47,74,64,54,41,48,72,62,55,42,46,75,61,55,40,45,74,61,55,40,48,72,62,56,42,47,75,59,56,41,49,78,62,55,42,45,73,64,58,41,49,73,62,60,42,49,77,59,57,42,46,73,63,59,43,49,70,63,58,42,45,71,61,56,40,46,74,62,56,42,49,75,64,56,41,47,78,64,57,42,49,74,61,58,39,49,73,60,56,41,49,75,62,56,43,45,73,60,57,42,47,77,59,58,42,49,75,59,55,42,45,70,61,58,39,48,72,60,58,42,45,75,63,55,43,47,73,65,58,39,49,71,64,57,39,49,76,64,59,41,49,71,65,56,40,45,73,65,56,40,48,74,60,60,42,49,75,63,57,39,46,72,62,56,42,45,76,64,55,43,47,72,60,59,40,47,71
37,32,61,45,51,37,34,60,42,51,35,34,59,43,49,35,32,60,45,52,36,33,62,45,49,35,34,61,42,48,37,33,61,43,48,38,33,58,45,51,37,35,59,41,49,36,33,58,43,50,37,34,60,44,52,36,34,60,42,50,38,35,58,43,52,34,33,60,43,51,37,32,60,42,52,35,32,57,42,52,35,33,62,43,51,38,35,58,45,50,36,32,58,41,48,38,32,62,44,51,37,34,60,45,51,37,31,59,42,52,37,32,63,44,50,37,33,62,44,52,36,32,60,45,49,35,32,63,45,52,37,34,61,43,52,34,32,57,43,52,35,31,62,41,48,36,34,60,45,50,38,32,59,42,49,36,33,59,44,49,35,33,61,42,48,37,35,59,44,51,37,34,60,43,51,35,33,62,44,50,36,33,58,41,50,36,32,61,44,51,35,33,60,43,51,35,32,57,44,51,36,32,59,43,52,37,34,60,41,51,37,32,62,44,48,37,32,60,41,52,36,33,63,41,51,37,33,62,44,51,38,33,59,41,52,36,34,57,43,49,35,33,58,43,48,37,34,58,43,52,37,32,59,43,51,35,33,60,42,49,38,31,60,44,51,36,34,61,41,52,37,32,58,41,49,36,34,60,43,50,37,33,58,45,52,37
33,44,41,53,59,35,43,41,54,60,33,43,42,50,62,34,41,43,54,59,33,44,43,53,60,34,41,42,50,62,33,42,41,53,58,33,40,40,50,61,35,41,42,53,62,36,41,39,54,59,34,43,40,52,62,34,40,41,52,60,32,44,42,53,61,34,42,41,52,61,34,40,43,53,63,34,44,42,53,61,35,42,41,54,63,35,43,43,52,59,33,41,41,54,59,35,44,42,50,60,35,40,41,50,62,35,43,43,53,61,33,41,42,51,58,34,43,40,54,61,34,41,43,52,58,34,40,43,50,62,33,43,43,52,62,33,41,39,51,60,34,43,43,51,61,34,42,41,49,61,33,43,42,52,61,33,41,41,52,59,35,42,42,52,59,34,41,42,52,61,35,42,42,50,59,36,43,40,54,61,35,41,42,50,61,35,44,40,52,62,36,43,43,53,61,34,44,39,52,62,34,41,42,52,59,35,40,42,53,58,34,43,41,50,62,35,42,42,51,63,34,42,40,51,60,35,41,42,53,57,34,41,42,54,61,33,42,42,54,62,33,40,41,49,58,36,41,41,53,60,34,40,40,53,59,34,42,40,51,60,33,43,40,52,58,36,41,41,51,61,34,44,39,55,60,35,41,42,50,62,33,40,40,51,58,33
